subjects;semesters;credits;compulsory
Games Technology;1 (Autumn);10;No
Human-Computer Interaction;1 (Autumn);10;Yes
Professional Development;1 (Autumn);10;Yes
Systems Analysis and Design;1 (Autumn);10;Yes
Database Design and Development;2 (Spring);10;Yes
Computer Networking;2 (Spring);10;Yes
Programming Fundamentals;2 (Spring);10;Yes
Discrete Mathematics;3 (Autumn);10;No
Object Oriented Analysis;3 (Autumn);10;Yes
Statistical Decision Making;3 (Autumn);10;Yes
Programming Techniques;4 (Spring);10;Yes
Social Web Analytics;4 (Spring);10;Yes
Social Computing;4 (Spring);10;No
Computer Networks and Internets ;5 (Autumn);10;Yes
Technologies for Web Applications;5 (Autumn);10;Yes
Operating Systems Programming;5 (Autumn);10;Yes
Principles of Professional Communication 1;6 (Spring);10;Yes
Professional Experience;6 (Spring);10;Yes
Web Systems Development;6 (Spring);10;Yes
