activity;start_time;completion_time;duration;predecessors;resources
6;5;13;9;2;r2(10),r3(9),r4(9)
10;14;21;8;6;r1(8)
11;17;23;7;9;r3(7),r4(1)
12;33;39;7;2;r1(10),r4(7)
13;22;23;2;10;r1(4),r2(10),r4(2)
14;17;24;8;5;r1(8),r3(3)
15;24;28;5;13;r2(5)
16;14;17;4;5;r2(8)
17;29;29;1;15;r1(6),r2(4)
18;30;39;10;15;r1(9),r3(5),r4(4)
19;8;16;9;5;r1(6),r3(9)
20;25;32;8;14;r4(9)
21;35;40;6;8, 17, 19;r1(1),r2(8),r3(9)
22;25;32;8;10, 14;r1(10),r3(10)
23;45;45;1;15, 20;r2(3),r3(2)
24;18;23;6;16;r1(4),r4(6)
25;34;34;1;14, 17, 24;r2(10),r3(4),r4(2)
26;41;48;8;11, 21, 22;r2(8)
27;40;49;10;3, 12, 18;r1(1)
28;46;47;2;7, 23, 25;r1(1),r4(6)
29;48;51;4;8, 28;r3(3),r4(5)
31;50;51;2;16, 26, 27;r2(9),r3(8)
32;51;51;0;29, 30, 31;-
